Product Name,Product Line,Image Source,Rating,Original Price,OFF,Price
Sveston Nitro Smartw... ,New Gaming Edition ,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.11,499
                  ",43% OFF,"
            Rs.6,499
          "
Sveston Aristos Avan... ,Sleek Design | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.13,000
                  ",27% OFF,"
            Rs.9,459
          "
Sveston Johnwick 3.0... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.4,"
                    Rs.30,000
                  ",55% OFF,"
            Rs.13,329
          "
Sveston Onyx SV-7526-M ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.6,"
                    Rs.21,999
                  ",47% OFF,"
            Rs.11,499
          "
Sveston Selwar SV-81... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,,"
                    Rs.18,999
                  ",42% OFF,"
            Rs.10,999
          "
Sveston Aspire SV-11... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,5.0,"
                    Rs.14,999
                  ",56% OFF,"
            Rs.6,499
          "
Sveston Ironman SV-7... ,Marvel Edition | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.18,000
                  ",47% OFF,"
            Rs.9,459
          "
Sveston Inspiro SV-1... ,Classic Design | Original Leather,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.7,"
                    Rs.11,000
                  ",37% OFF,"
            Rs.6,879
          "
SVESTON LEGEND SMART... , Bluetooth Calling  | Round Dial  ,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.0,"
                    Rs.16,500
                  ",39% OFF,"
            Rs.9,999
          "
SVESTON BULLSTON ,Rugged Edition | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.13,500
                  ",29% OFF,"
            Rs.9,459
          "
Sveston john Wick SV... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.30,000
                  ",55% OFF,"
            Rs.13,329
          "
Sveston ZODDOK SV-82... ,Japanese Quartz | Genuine Leather,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.15,000
                  ",42% OFF,"
            Rs.8,599
          "
SVESTON SOLANO 7438-M ,Luxury Edition | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.13,500
                  ",29% OFF,"
            Rs.9,459
          "
Sveston Elite SV-112... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.15,999
                  ",50% OFF,"
            Rs.7,999
          "
SVESTON MODICCI ,Timeless Edition | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.20,000
                  ",46% OFF,"
            Rs.10,749
          "
Sveston San Angelo S... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,5.0,"
                    Rs.14,999
                  ",50% OFF,"
            Rs.7,499
          "
Sveston Ageless Merc... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.6,"
                    Rs.21,000
                  ",52% OFF,"
            Rs.9,999
          "
Sveston Hector SV-82... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,5.0,"
                    Rs.19,999
                  ",45% OFF,"
            Rs.10,999
          "
Sveston Washington S... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.7,"
                    Rs.27,000
                  ",59% OFF,"
            Rs.10,999
          "
SVESTON NITRO SMARTW... ,AI VOICE ASSISTANT   |  ALWAYS ON DISPLAY ,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.15,000
                  ",56% OFF,"
            Rs.6,499
          "
SVESTON DOROLY 1.0 S... ,Elegant Colors | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.5,"
                    Rs.15,000
                  ",36% OFF,"
            Rs.9,459
          "
Sveston Elegant SV-7... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,,"
                    Rs.21,999
                  ",47% OFF,"
            Rs.11,499
          "
Sveston Diesel 1.0 ,Dual Display | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.17,999
                  ",31% OFF,"
            Rs.12,297
          "
SVESTON HAMMER SV-82... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.30,000
                  ",68% OFF,"
            Rs.9,459
          "
SVESTON PRESTIGE SMA... ,AMOLED | 3D Curved Screen ,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.5,"
                    Rs.23,500
                  ",23% OFF,"
            Rs.17,989
          "
Sveston King SV-7512-M ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.4,"
                    Rs.30,000
                  ",70% OFF,"
            Rs.8,799
          "
SVESTON VANESIO SV-9... ,Dual Display | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.7,"
                    Rs.17,000
                  ",52% OFF,"
            Rs.7,999
          "
SVESTON PRIMO SMARTW... ,Ai Voice Assistance | Always On Display,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,3.6,"
                    Rs.11,498
                  ",25% OFF,"
            Rs.8,598
          "
Sveston Lala 360 (Le... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.8,"
                    Rs.40,000
                  ",55% OFF,"
            Rs.17,999
          "
Sveston Spectrum SV-... ,Iconic Choice | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.5,"
                    Rs.30,000
                  ",52% OFF,"
            Rs.14,189
          "
Sveston Afridi X (St... ,Special Edition | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.9,"
                    Rs.35,000
                  ",42% OFF,"
            Rs.19,999
          "
Sveston Maverick SV-... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.6,"
                    Rs.26,999
                  ",70% OFF,"
            Rs.7,999
          "
Sveston Victon 2.0 S... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,5.0,"
                    Rs.13,999
                  ",42% OFF,"
            Rs.7,999
          "
Sveston Hamlet SV-70... ,,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.4,"
                    Rs.21,000
                  ",67% OFF,"
            Rs.6,879
          "
SVESTON BOOMSTON-C-M ,Classic Colors | Stainless Steel,//en-pk.svestonwatches.com/cdn/shop/t/139/assets/eye-icon.svg?v=50721491835018501091727712306,4.9,"
                    Rs.60,000
                  ",68% OFF,"
            Rs.18,919
          "
